MODEL_ID, BATCH_SIZE, NUM_EPOCHS, FINAL_TRAINING_ACCURACY, FINAL_VALIDATION_ACCURACY, FINAL_TRAINING_LOSS, FINAL_VALIDATION_LOSS, PLOT_FILENAME
2024-10-26_15-24-17, 1, 12, 0.997560977935791, 0.8989899158477783, 0.010087103582918644, 0.21533362567424774, 2024-10-26_15-24-17_training_performance.png
2024-10-26_15-47-44, 1, 12, 0.997560977935791, 0.8989899158477783, 0.008664537221193314, 0.23647230863571167, 2024-10-26_15-47-44_training_performance.png
2024-10-26_16-15-35, 1, 12, 0.9731707572937012, 0.868686854839325, 0.11113006621599197, 0.7088141441345215, 2024-10-26_16-15-35_training_performance.png
2024-10-26_16-34-59, 1, 12, 0.995121955871582, 0.8989899158477783, 0.03595108166337013, 0.3503781259059906, 2024-10-26_16-34-59_training_performance.png
2024-10-26_17-7-35, 1, 12, 0.995121955871582, 0.9191918969154358, 0.04085025191307068, 0.22942818701267242, 2024-10-26_17-7-35_training_performance.png
2024-10-26_17-44-57, 1, 12, 0.997560977935791, 0.939393937587738, 0.016771523281931877, 0.1810462325811386, 2024-10-26_17-44-57_training_performance.png
2024-10-26_17-45-33, 1, 12, 0.997560977935791, 0.9292929172515869, 0.009147676639258862, 0.17093691229820251, 2024-10-26_17-45-33_training_performance.png
